Date,Open,High,Low,Close,Volume,Ticker
2022-01-03,1745.1766499313085,1769.4903732034031,1745.1766499313085,1755.0684814453125,3329616,INFY.NS
2022-01-04,1755.068376382512,1762.6491341594026,1736.1629200768718,1755.715576171875,3921999,INFY.NS
2022-01-05,1756.5015501900455,1759.182548810514,1701.0330801840441,1705.3319091796875,6995719,INFY.NS
2022-01-06,1689.9392374856445,1689.9392374856445,1664.0539537604814,1680.5096435546875,6449205,INFY.NS
2022-01-07,1678.3369810457925,1697.3349748424685,1670.3403678774816,1677.27392578125,4834389,INFY.NS
2022-01-10,1677.921108115481,1728.6747774270023,1676.072159236015,1710.9710693359375,7857560,INFY.NS
2022-01-11,1714.900049832002,1728.767166137921,1710.4163714632643,1715.4547119140625,5142287,INFY.NS
2022-01-12,1727.7503520420198,1746.33226623806,1719.5225067246117,1735.654541015625,5362535,INFY.NS
2022-01-13,1761.1236131781875,1768.057170710385,1725.392657458755,1753.54296875,14277630,INFY.NS
2022-01-14,1739.8609227891898,1787.0091199529777,1738.936448334998,1783.634765625,7688506,INFY.NS
2022-01-17,1792.1398608824677,1806.3305200959148,1784.697796956569,1793.01806640625,5262464,INFY.NS
2022-01-18,1776.9322219715987,1798.1027083053698,1767.0865470397507,1775.6842041015625,3690315,INFY.NS
2022-01-19,1771.292892246121,1771.292892246121,1722.1570569291396,1726.0399169921875,5747770,INFY.NS
2022-01-20,1704.7307420806908,1708.4286395689353,1678.3832224769492,1685.9638671875,5533463,INFY.NS
2022-01-21,1659.4316419219692,1671.449809802184,1641.8666273278093,1650.833984375,8252758,INFY.NS
2022-01-24,1631.6973304359205,1635.0716845959498,1597.491777333298,1605.627197265625,7116712,INFY.NS
2022-01-25,1596.1976065091726,1608.585587048575,1572.0688452736217,1592.083740234375,9137653,INFY.NS
2022-01-27,1573.4554781144275,1580.5738860771773,1539.2499242423748,1551.82275390625,11231734,INFY.NS
2022-01-28,1554.0415329373398,1597.075863240235,1552.6548212779667,1558.8487548828125,10998502,INFY.NS
2022-01-31,1588.2471197606685,1617.368065204476,1585.7972398753773,1605.072509765625,8788872,INFY.NS
2022-02-01,1632.7143968882167,1645.5646150478133,1603.6858749289927,1638.215087890625,5119935,INFY.NS
2022-02-02,1653.8848199543124,1657.3978680660628,1638.1687540296489,1652.1282958984375,4253717,INFY.NS
2022-02-03,1644.640063945168,1644.640063945168,1603.0387132551555,1607.2451171875,3832922,INFY.NS
2022-02-04,1601.1898436320712,1621.4820138887837,1580.9900982557363,1609.6025390625,4700077,INFY.NS
2022-02-07,1592.1299260894864,1601.1898212577441,1567.354077397187,1585.4737548828125,4310209,INFY.NS
2022-02-08,1580.8512671414137,1594.718383519847,1567.908625188209,1587.5999755859375,6053401,INFY.NS
2022-02-09,1603.9630192941775,1611.358814195822,1594.7182756671218,1606.08935546875,3867244,INFY.NS
2022-02-10,1623.0534567290167,1639.9251140487552,1616.67456098042,1635.9498291015625,4334630,INFY.NS
2022-02-11,1608.585464360411,1614.086041928648,1583.6246554306804,1591.343994140625,7551371,INFY.NS
2022-02-14,1562.361824776341,1588.7556155364375,1551.499249959109,1555.15087890625,7459637,INFY.NS
2022-02-15,1570.6820305898757,1614.8256838922105,1562.7777292037651,1606.9676513671875,4669915,INFY.NS
2022-02-16,1606.967704927477,1622.8686202500903,1596.4286736783567,1602.3916015625,5350642,INFY.NS
2022-02-17,1612.2834335558314,1616.9058057850625,1590.3734343296294,1594.5335693359375,3937950,INFY.NS
2022-02-18,1580.8510638450027,1592.406992674279,1574.8419808537792,1578.0313720703125,5602215,INFY.NS
2022-02-21,1572.5310685070715,1606.0895368025156,1563.7485610697893,1599.9879150390625,5120890,INFY.NS
2022-02-22,1571.5140840906304,1618.7547042310225,1563.3325080700329,1603.3621826171875,8878515,INFY.NS
2022-02-23,1617.8301069233273,1625.4570202845373,1602.4838553364004,1611.2200927734375,5478811,INFY.NS
2022-02-24,1562.4541622305192,1585.42732852035,1544.334486544915,1551.40673828125,13592379,INFY.NS
2022-02-25,1585.4736812267656,1597.6305428104308,1550.3436521383592,1566.6143798828125,9737281,INFY.NS
2022-02-28,1555.1508515705575,1597.538094754721,1539.2499364068876,1586.0283203125,15076542,INFY.NS
2022-03-02,1580.851238962021,1584.9189489306957,1563.2862251957763,1574.195068359375,6771489,INFY.NS
2022-03-03,1590.2807829501578,1602.9461496636136,1576.737323567142,1590.8817138671875,7344147,INFY.NS
2022-03-04,1567.215177271476,1604.8875078857293,1554.0414174861237,1593.146728515625,9074499,INFY.NS
2022-03-07,1568.8330715026768,1618.7546895705286,1567.908597094013,1608.44677734375,9742588,INFY.NS
2022-03-08,1588.662925318112,1664.053854825704,1588.662925318112,1643.9002685546875,10984500,INFY.NS
2022-03-09,1655.7337701884549,1693.26741097375,1655.7337701884549,1676.395751953125,10193515,INFY.NS
2022-03-10,1705.4241223275683,1705.4241223275683,1673.4834871742523,1687.997802734375,6547182,INFY.NS
2022-03-11,1676.9966604188821,1693.082538496936,1674.223237055455,1684.3924560546875,4758657,INFY.NS
2022-03-14,1693.2211165577162,1751.8789715464534,1693.2211165577162,1747.9036865234375,10289724,INFY.NS
2022-03-15,1745.7311420136266,1745.7311420136266,1691.7880854652774,1700.3857421875,7140443,INFY.NS
2022-03-16,1724.1447070076717,1750.908194986824,1709.3531170279814,1746.701904296875,5233979,INFY.NS
2022-03-17,1778.041608568437,1778.041608568437,1694.6077963189778,1714.5301513671875,17731459,INFY.NS
2022-03-21,1720.4468161984312,1744.3907251412768,1702.0497535195248,1713.0972900390625,8362085,INFY.NS
2022-03-22,1710.2775421219862,1747.2565160057047,1700.1083243039636,1744.8529052734375,5709382,INFY.NS
2022-03-23,1753.7281342142337,1756.5015577264332,1716.7491540515718,1730.986083984375,6192824,INFY.NS
